,Sentence,Eval 1,Eval 2,Eval 3
534,Le juif jurait de fumer.,0,0,0
535,Nous nous planterons.,0,0,0
536,Des députées prennent conscience des tubulures.,0,0,0
537,Des centaines de bébés trimeront.,0,0,0
538,Jane Fonda peste.,0,0,0
539,Des figurantes glandent.,0,0,0
540,Un flamand exercera le pouvoir en l'air.,0,0,0
541,Elle refuse de gamberger en tintinnabulant.,0,0,0
542,La personnalité grelottait.,0,0,0
543,La femme idéale traînait.,0,0,0
544,Presque toutes les miliciennes à lunettes brûlent.,0,0,0
545,Tu empiètes sur une hypocrite.,0,0,0
546,Le vigneron cherche-t-il querelle au massacre ?,0,0,0
547,Vous ne clignotez pas.,0,0,0
548,Une multitude de tueurs à gages décompressent.,0,0,0
549,Vous tenez à glousser !,0,0,0
550,Des amatrices font un clin d'œil à un hélicoptère.,0,0,0
551,Les haltérophiles barbus déploient les halos.,0,0,0
552,Le binoclard cynique ne bricole-t-il pas ?,0,0,0
553,Est-ce que je faisais appel à la brochure ?,0,0,0
554,Un flutiste allergique au soleil mue-t-il ?,0,0,0
555,Serge Dassault demandera les scaphandres étanches.,0,0,0
556,Iras-tu aux pieds de Christine Ockrent ?,0,0,0
557,La multi-récidiviste mandchoue geint avec style.,0,0,0
558,Il se divertit au musée de la bière.,0,0,0
559,Un autre homme polémique.,0,0,0
560,Un pleurnichard se munit des haricots.,0,0,0
561,Whitney Houston épluche des botanistes.,0,0,0
562,Le bouffon accoutumé au luxe stagne.,0,0,0
563,Les hiérarques font peur à des gaz en alunissant.,0,0,0
564,Nous portons la poisse aux sphères en travaillant.,0,0,0
565,Les manifestants donneront l'alerte...,0,0,0
566,Ce nancéien dégringolera bien à l'abri.,0,0,0
567,Les alcooliques se mesurent à ce mec.,0,0,0
568,Nous nous enorgueillissions de la bosse.,0,0,0
569,Les joueurs de ping-pong se désaltèrent.,0,0,0
570,L'acrobate de cirque disait stop à une plante...,0,0,0
571,Elles croupissaient sous le soleil de Caracas.,0,0,0
572,Des maître-sauciers passeront en Floride.,0,0,0
573,Le funambule fumera.,0,0,0
574,Michel-Ange recommande-t-il des tonneaux ?,0,0,0
575,Pourquoi l'encyclopédiste acharné grelottait-il ?,0,0,0
576,Je reporte la société.,0,0,0
577,Les pires escrocs paraissent patienter modérément.,0,0,0
578,Tu blâmes Tino Rossi au fond à droite.,0,0,0
579,Le protestant se passe d'étagères !,0,0,0
580,Où Yves Calvi vide-t-il les poils ?,0,0,0
581,Des sidérurgistes mettent un terme au pot.,0,0,0
582,Vous testez le scout.,0,0,0
583,Vous vous nourrissez...,0,0,0
584,L'habitant chauve se fait attendre à la piscine.,0,0,0
585,La remplaçante du facteur grelotte.,0,0,0
586,Redoutais-je de dire non à quatre-vingts lardons ?,0,0,0
587,Ce salopard décore un saucisson.,0,0,0
588,Une multitude de sociopathes boursicotent.,0,0,0
589,Est-ce que je ne transpire plus ?,0,0,0
590,Les esquimaux reviennent en Chine.,0,0,0
591,Est-ce que vous glanderez ?,0,0,0
592,La sœur du juge Burgaud s'enlise chez nous.,0,0,0
593,"En salle informatique, ils usaient ces croyances.",0,0,0
594,Elles tiennent parole.,0,0,0
595,Elles déconnent !,0,0,0
596,Les mentalistes ont besoin de plus d'ogives.,0,0,0
597,Les personnages patinaient.,0,0,0
598,Elle fait l'impasse sur ces moufles !,0,0,0
599,Une entraîneuse dérive loin de toute gérante.,0,0,0
600,"En Bourgogne, je conduis des pillages.",0,0,0
601,Où la bougresse tient-elle bon ?,0,0,0
602,Nous nous baignons...,0,0,0
603,Les inspecteurs s'empiffraient en 1995.,0,0,0
604,Un alcoolique tardait-il à s'agiter ?,0,0,0
605,Est-ce que vous ne paraissez pas discuter ?,0,0,0
606,Une toxicomane protestera.,0,0,0
607,À quelle occasion ne vous empiffrez-vous pas ?,0,0,0
608,Un margoulin mènera à l'ombre.,0,0,0
609,Des critiques de films ne ripostent plus.,0,0,0
610,Judas bloque sur la corbeille à papier.,0,0,0
611,Joe Dalton s'arme du chasseur de gauche en venant.,0,0,0
612,A-t-elle envie de s'agglutiner ailleurs ?,0,0,0
613,Nous nous plantons curieusement...,0,0,0
614,Les hypocrites se limitent-ils à un déménageur ?,0,0,0
615,Une avocate fait honte au fin mot de l'histoire...,0,0,0
616,Le seul ami de Bin Laden glissait sur la cruche.,0,0,0
617,Les maîtres se souviendront de l'avant-garde.,0,0,0
618,Les chrétiennes négligent des bouddhistes.,0,0,0
619,Je rassemble un bain bleu et une version...,0,0,0
620,Homère s'associe à l'insomnie.,0,0,0
621,Je ne grimperai pas directement sur la sélection.,0,0,0
622,Des ancêtres outrageusement dénudés insistent...,0,0,0
623,Pourquoi ramperas-tu ?,0,0,0
624,Ce laborantin à moitié endormi sautillera.,0,0,0
625,Des russes approcheront du mort-vivant.,0,0,0
626,Des doxographes décompresseront en gigotant.,0,0,0
627,Alf s'opposait à un journaliste sur cent.,0,0,0
628,Le gendarme dispensé de sport se gave de javelots.,0,0,0
629,Alain Juppé squattera en Bourgogne.,0,0,0
630,Le vandale s'amuse.,0,0,0
631,Mon client prend la mouche.,0,0,0
632,Quand zigzaguiez-vous ?,0,0,0
633,Tu profitais souvent des passions.,0,0,0
634,Ce sociopathe annonce les rochers.,0,0,0
635,Nous butons sur des joueurs de poker.,0,0,0
636,Ces virtuoses portent chance à ce gîte.,0,0,0
637,Un rescapé insiste sur ces bracelets internes.,0,0,0
638,Ils gardaient l'œil sur un loup-garou.,0,0,0
639,Les assaillantes redouteront de loger à Atlanta.,0,0,0
640,Méditons-nous sur la sociologue ?,0,0,0
641,Les menteuses révèlent un commissaire de police !,0,0,0
642,Michel Boujenah entretient ses nacelles.,0,0,0
643,Le développeur pessimiste nage.,0,0,0
644,Des greffiers prendront appui sur les sociologues.,0,0,0
645,J'aperçois les rares souhaits.,0,0,0
646,Une manipulatrice s'attend à un fakir.,0,0,0
647,Les sténodactylographes peuvent radoter.,0,0,0
648,La choriste médit d'un hussard.,0,0,0
649,Tu perds connaissance.,0,0,0
650,Peu de marseillais farfouillent-ils partout ?,0,0,0
651,Les idoles butineront une juge.,0,0,0
652,Faites-vous la promesse de grossir ?,0,0,0
653,Les bonzes préconisent d'accoucher des insectes.,0,0,0
654,Un belge se dépêche en force de jongler.,0,0,0
655,J'ai le pouvoir d'atterrir sur le thème !,0,0,0
656,Vous nagiez près de Georges Moustaki.,0,0,0
657,Nous ne déplorons pas les phares.,0,0,0
658,Je demandais la fable à Erik Satie.,0,0,0
659,Comment une connasse s'exprime-t-elle ?,0,0,0
660,Des directrices de cabinet accouchent des mines.,0,0,0
661,Ce marin n'apparaît pas en Ile-De-France.,0,0,0
662,Les palefreniers sanglotent très légèrement.,0,0,0
663,Salvatore Adamo échappe à ce moussaillon.,0,0,0
664,Est-ce que je me méfie de ces activités ?,0,0,0
665,Emiliano Zapata déclinera.,0,0,0
666,L'énergumène loquace commandait Hiroshima.,0,0,0
667,Le sultan souscrit à une maladie oubliée.,0,0,0
668,Les bouddhistes exultent !,0,0,0
669,Arsène Lupin empiète sur les décharges.,0,0,0
670,Un médecin macérait !,0,0,0
671,Je mélange les glaçons avec le glacier fermé.,0,0,0
672,Une personne jettera un œil à l'opuscule...,0,0,0
673,Louis XVI chuchote.,0,0,0
674,Les blaireaux se tromperont.,0,0,0
675,Où embrouilleras-tu la voie récurrente ?,0,0,0
676,Un souverain à l'agonie allume peu de reproches...,0,0,0
677,Le zombie voudra parler des yeux.,0,0,0
678,Des rescapés diserts préféraient s'inquiéter.,0,0,0
679,Je trahis l'estampille avec des calculatrices.,0,0,0
680,Cendrillon s'auto-mutile.,0,0,0
681,Où ces conscrits sanglotent-ils ?,0,0,0
682,Je me rue sur la ligne de touche.,0,0,0
683,Les autorités disent adieu à des hiboux blancs.,0,0,0
684,Quand les mendiantes repliaient-elles les ciels ?,0,0,0
685,"À la cantine, quelques pasteurs cuisinent.",0,0,0
686,Lou Ferrigno imaginera les moines franciscains.,0,0,0
687,Le doyen de l'université se remet à pleurer.,0,0,0
688,Le zouave prend racine sur le flanc du Vésuve.,0,0,0
689,Cette flutiste se lave.,0,0,0
690,Tardions-nous à répondre au harnais ?,0,0,0
691,Je passerai le bac.,0,0,0
692,Monsieur Spok se refusait à se tortiller.,0,0,0
693,Des druidesses en RTT pâlissaient.,0,0,0
694,Tous les démons de l'enfer crient victoire.,0,0,0
695,Les pantins disposent de la glandeuse...,0,0,0
696,Les communistes approchent du père Fouettard.,0,0,0
697,Un golfeur débat de beaucoup de substituts.,0,0,0
698,Passeras-tu le bac en l'an 3000 ?,0,0,0
699,Je pense à planter les obligations hypothéquées.,0,0,0
700,Où l'éditorialiste explose-t-il ?,0,0,0
701,Le candidat brûle de parler du ménestrel !,0,0,0
702,Tu butines ses liens.,0,0,0
703,Un fou s'alimente en apportant l'outre.,0,0,0
704,Bavarderons-nous ?,0,0,0
705,La maman de Salvatore Adamo nuit à des larmes.,0,0,0
706,Vous attendez-vous à des claviers en hululant ?,0,0,0
707,Le juge Burgaud suinte.,0,0,0
708,Je me référais à l'essence.,0,0,0
709,Les avocats rendaient hommage à leurs flûtes...,0,0,0
710,Vous guérissez sur le pont du Titanic.,0,0,0
711,Vous hésiterez pour étudier ces amorces.,0,0,0
712,Il dit adieu à plusieurs oliviers.,0,0,0
713,Assez d'ogres trépigneront.,0,0,0
714,Peu de hiérarques ont-ils envie des sons ?,0,0,0
715,L'arbitre porte chance aux glandeurs !,0,0,0
716,Jane Fonda oscille.,0,0,0
717,Des prélats ont des grains de sable chimiques.,0,0,0
718,Des chercheuses ricanent à contre jour.,0,0,0
719,Bruno Carette accepte de ruminer !,0,0,0
720,Un thérapeute se lasse de plumes au calme.,0,0,0
721,Tu tarderas à contourner nos calculatrices.,0,0,0
722,Tu te passes d'un électron en forme de cœur.,0,0,0
723,Une croupière crée les colonnes de carnaval.,0,0,0
724,Un ogre chante...,0,0,0
725,Une brute épaisse resurgit en s'alimentant.,0,0,0
726,Tu sauras comment ne jamais divaguer.,0,0,0
727,À quelle fin Lino Ventura lâche-t-il prise ?,0,0,0
728,Vous butez sur le chat de Pocahontas.,0,0,0
729,Je rends des mosquées.,0,0,0
730,La franc-maçonne turque interviendra.,0,0,0
731,Ils détachent un dessein en bavant.,0,0,0
732,Presque tous les adhérents arrivent.,0,0,0
733,La déléguée du personnel blémit !,0,0,0
734,Est-ce que je me ruerai chez Laurent Fabius ?,0,0,0
735,Des diacres s'agglutinent dans mon garage !,0,0,0
736,Elles accusent l'existence avec les bisons.,0,0,0
737,"L'année dernière, le dernier dandy paradait.",0,0,0
738,Madonna ne se noie pas.,0,0,0
739,Trois acrobates de cirque enlaçaient le guignol.,0,0,0
740,Les esclaves essaient de déployer l'état.,0,0,0
741,Un audio-prothésiste tendra à pâlir !,0,0,0
742,Vous remettez ce torchon à une toxicomane...,0,0,0
743,Les insurgées tombent sur les berges de la Loire.,0,0,0
744,La guichetière fume.,0,0,0
745,Des tas de sociopathes se désaltèrent.,0,0,0
746,Des handicapées crucifient peu de véhicules creux.,0,0,0
747,Des samouraïs refusent de baffrer.,0,0,0
748,Ariana Grande se trouvera-t-elle tout là-haut ?,0,0,0
749,Tu fais honneur à des cercles.,0,0,0
750,Le peintre bave.,0,0,0
751,Arthur Rimbaud s'inspire de la nervure.,0,0,0
752,Emma Bovary opérera une horlogère.,0,0,0
753,Demandez-vous en mariage les épis ?,0,0,0
754,L'explorateur décoiffé égaie des arbalètes.,0,0,0
755,Ils volent à peine une sénatrice.,0,0,0
756,Le moine se débarrassera de son milieu.,0,0,0
757,Des poissonnières picolent...,0,0,0
758,Quatre banquières se débrouillent-elles ?,0,0,0
759,Je me vante de me vouer au registre...,0,0,0
760,Un artiste rêvait de l'arme à feu.,0,0,0
761,Cette figurante passionnée d'histoire puera !,0,0,0
762,Le sujet de cette phrase pleurait.,0,0,0
763,Vous faites un clin d'œil aux quantités.,0,0,0
764,Est-ce qu'ils ne grelottaient pas ?,0,0,0
765,Les hérétiques portent chance aux canoës.,0,0,0
766,Facebook maîtrise un cerveau...,0,0,0
767,Je retournerai me rapprocher de ces combustions.,0,0,0
768,Le porteur sénile remplaçait un dictionnaire.,0,0,0
769,Les patrons trépignent en douce.,0,0,0
770,Tous les peintres en bâtiment s'installent-ils ?,0,0,0
771,Mon chien s'accrochera.,0,0,0
772,Tu tricoteras ces gigots accessoires.,0,0,0
773,Vos parents trinquent à une sale histoire.,0,0,0
774,Nous émigrerons chez vous.,0,0,0
775,Un allemand cruel fermera la lance.,0,0,0
776,Une femme sur quatre saigne-t-elle ?,0,0,0
777,Les pires escrocs recommencent !,0,0,0
778,Plus d'ingénieurs médisent de révolutions.,0,0,0
779,Cinq poissonnières ne chatouillent pas le lycéen.,0,0,0
780,Tu vitrifiais une ordure.,0,0,0
781,Nous promettions des phrases à l'entraîneur !,0,0,0
782,Dracula errait-il ?,0,0,0
783,Quatre mendiants restent en Belgique.,0,0,0
784,Dix-huit sauvages en herbe apprenaient à barboter.,0,0,0
785,Un hiérarque prend un malin plaisir à bouder !,0,0,0
786,Des dizaines de fantassins se perdent au Québec.,0,0,0
787,"À Barcelone, je tends à renoncer.",0,0,0
788,Jeanne Mas permettait de se masser à Manhattan...,0,0,0
789,Elle échouait à grelotter le 15 novembre 2003.,0,0,0
790,Des mutants séduiront un mortier mécanique.,0,0,0
791,Vous remettez les flammes au végétarien.,0,0,0
792,Vous abandonnez des lois à une bosse décomposée...,0,0,0
793,Vous pensez à vous attendre à des consciences.,0,0,0
794,Ces zombies ronfleront.,0,0,0
795,Vous conjuguerez un hippopotame et la lumière !,0,0,0
796,Les douanières étaient en exil en Irak.,0,0,0
797,Elle s'obstine à crier haro sur moins de gabarits.,0,0,0
798,Vous ne vous servez point d'une équation.,0,0,0
799,Peux-je me transporter chez un mime ?,0,0,0
800,Le bonze breton compte sur ces particuliers.,0,0,0
801,Elvis Presley s'interroge sur les grecs.,0,0,0
802,Neuf mille cinq cents belges gazouillent.,0,0,0
803,Il s'accrochera.,0,0,0
804,Un riche paysan analysera Herbert Léonard.,0,0,0
805,Des nains s'attendaient rarement à un bilboquet !,0,0,0
806,Vous dérouillerez ce cheeseburger entier.,0,0,0
807,Certains bouddhistes débarquent dans le Calvados !,0,0,0
808,Des individus armés préféreront s'auto-mutiler.,0,0,0
809,Vous assurez agoniser !,0,0,0
810,Un bon gars déteint-il ?,0,0,0
811,Elle complète une héritière congelée.,0,0,0
812,Presque toutes les filles ronronnaient !,0,0,0
813,Il campe dans le Poitou jusqu'à la nausée.,0,0,0
814,Regrettez-vous de porter secours aux courtisans ?,0,0,0
815,Tu recours aléatoirement à notre indice à voiles.,0,0,0
816,Un taliban jovial filtrait les pillages...,0,0,0
817,Une occultiste se terrait au milieu de l'écran.,0,0,0
818,Armande Altaï se dispense de bafouiller.,0,0,0
819,Des cancres laissent des scouts à Sharon Stone.,0,0,0
820,Nous nous méfions d'une rangée de feux.,0,0,0
821,Nous domptons un numismate.,0,0,0
822,L'arbitre déshabille un parquet.,0,0,0
823,Un passant s'enorgueillit de styles.,0,0,0
824,La mutante n'égratignera pas mon cousin.,0,0,0
825,Sa Majesté morfle.,0,0,0
826,King Kong commandait Jacques Séguéla à la folle.,0,0,0
827,Les trolls réussissent à se jeter sur peu de murs.,0,0,0
828,Le vampire remplaçait la moitié des accords.,0,0,0
829,Moins de juges de touche brillent...,0,0,0
830,Ce galopin s'approche d'un larbin.,0,0,0
831,Est-ce que ces ergonomes étreindront un cloporte ?,0,0,0
832,Je glousse une dizaine de fois.,0,0,0
833,Est-ce que vous festoyez ?,0,0,0
834,La doxographe bronze.,0,0,0
835,Ils font une croix sur des lièvres sacrés !,0,0,0
836,La botaniste enflait carrément.,0,0,0
837,Nous ferons les yeux doux à ces écosystèmes gras.,0,0,0
838,George Carlin tourne le dos à trois caisses.,0,0,0
839,Nous dériverons chez une lycéenne.,0,0,0
840,Je déclare trembloter.,0,0,0
841,Des marabouts se méfieront...,0,0,0
842,L'employé du mois gazouille.,0,0,0
843,Le petit frère de Baruch Spinoza gargouille.,0,0,0
844,Mike Brant installera des tas de bouddhistes.,0,0,0
845,Vous dérouillerez une relation en glissant.,0,0,0
846,Elles veulent Staline pour la gloire.,0,0,0
847,"Eddie Mitchell restait dans le dossier ""Archive"".",0,0,0
848,Nous rendons la lueur.,0,0,0
849,Guillaume Tell rebondit-il sur la boutique ?,0,0,0
850,Vous vous trimbalerez au Japon quand tu voudras.,0,0,0
851,Un voyageur accuse cinq gourdes.,0,0,0
852,Un fantassin se détournera d'une créature.,0,0,0
853,Grace Jones se plaint d'un galurin.,0,0,0
854,Nous nous basions sur l'employé du mois...,0,0,0
855,Est-ce que la meilleure amie de Diana Ross prie ?,0,0,0
856,Tu regrettes quelques faux.,0,0,0
857,Le bouffon subodore les sacs de plâtre.,0,0,0
858,Une glandeuse fera exprès de se coiffer...,0,0,0
859,Pedro Almodovar ne ricane pas.,0,0,0
860,Les gastro-entérologues cotisent.,0,0,0
861,Je ne téléphone jamais à un véhicule.,0,0,0
862,Le roi de la piste se tortille en ne cédant plus.,0,0,0
863,Nous portons chance à ces putois.,0,0,0
864,Trois polytechniciennes se lassent de se suicider.,0,0,0
865,La sœur de Casimir utilise vos jets d'eau.,0,0,0
866,L'avocate s'attache à la fragile destination...,0,0,0
867,Romy Schneider morfle-t-elle ?,0,0,0
868,La prédicatrice filtre un radeau avec la gloire...,0,0,0
869,Un comptable se rend au bar du coin.,0,0,0
870,Le gérontologue titube-t-il ?,0,0,0
871,Nous approchons de ces équerres.,0,0,0
872,Quelques coiffeuses échouaient...,0,0,0
873,Vous vous habituez à travailler sur ce glaçon.,0,0,0
874,Elles activeront les lyres !,0,0,0
875,Frédéric Mitterand s'extasie sur Tex Avery !,0,0,0
876,Il aspire à appuyer sur ton chemin.,0,0,0
877,Bernard-Henri Lévy gargouille.,0,0,0
878,Prendra-t-elle la mouche en relevant la rustine ?,0,0,0
879,L'évèque de Meaux file.,0,0,0
880,Est-ce que la séductrice doute de toute l'équipe ?,0,0,0
881,Le cascadeur porte-t-il le Coran ?,0,0,0
882,Des technocrates correspondent à des ampoules.,0,0,0
883,Tous les chats du quartier regonflent un pas.,0,0,0
884,Ces sénateurs appelaient-ils la liberté ?,0,0,0
885,Le chef de cuisine obtient des wagons...,0,0,0
886,Ce prétendant mélange le récepteur et ce cachet...,0,0,0
887,Elles avouent complètement se réveiller.,0,0,0
888,L'artiste enragé colle incidemment au fromage.,0,0,0
889,Nous dévisserons les amendes.,0,0,0
890,Vous ne vous jetez jamais sur les spéculatrices.,0,0,0
891,Je ramène Fernandel à un orphelin un peu coincé !,0,0,0
892,Les membres du personnel provenaient des bœufs !,0,0,0
893,Le vainqueur de la course révèle la boîte de nuit.,0,0,0
894,L'archéologue s'habitue à resurgir.,0,0,0
895,Elles fumeront !,0,0,0
896,Est-ce qu'un monstre réclame de rebondir ?,0,0,0
897,Vous devez resurgir au milieu de l'écran.,0,0,0
898,Le caissier admettra frémir.,0,0,0
899,Les officiers supérieurs cuisinent.,0,0,0
900,Les portugaises accoucheront...,0,0,0
901,Steve Austin s'occupe d'un comptoir !,0,0,0
902,Une oratrice balbutiait.,0,0,0
903,Tu t'obstines à plonger sous ton nez.,0,0,0
904,Un combattant mercenaire hennit.,0,0,0
905,Vous mangez un soldat en extase !,0,0,0
906,Jean-Louis Trintignant exécute des visions.,0,0,0
907,La Corée du Nord met à l'index un landau.,0,0,0
908,Yvette Horner se plaindra de compléments.,0,0,0
909,Est-ce que des concurrentes persévèrent ?,0,0,0
910,"Chaque année, tu pourchasses autrui avec les pals.",0,0,0
911,Ils font confiance à la hutte.,0,0,0
912,Vous vous limitez à des équations facultatives.,0,0,0
913,Est-ce que vous ne glissez pas du tout ?,0,0,0
914,L'ouvrier fait confiance à des wapitis.,0,0,0
915,Est-ce que nous visons à barboter ?,0,0,0
916,Vous héritez logiquement d'une lyre métallique.,0,0,0
917,Nous rêvons de Toshiro Mifune.,0,0,0
918,Tu t'inquiéteras.,0,0,0
919,Où un ogre essuie-t-il tout bêtement les nuits ?,0,0,0
920,Des technocrates montrent les issues à la bergère.,0,0,0
921,Le pantin pique-nique-t-il ?,0,0,0
922,Nous consommons les sacs de plâtre substanciels.,0,0,0
923,Ce facteur s'attend à deux moniteurs d'auto-école.,0,0,0
924,Des gredins fantasment.,0,0,0
925,L'arbitre guérit.,0,0,0
926,Les êtres importent plusieurs vielles.,0,0,0
927,Vous vous moquez de l'instant.,0,0,0
928,Le patient préconisera de traîner...,0,0,0
929,Moins de communistes veulent un rat vital.,0,0,0
930,Un laquais ne reposait plus sur un arrêt de bus.,0,0,0
931,"Dans un bunker, nous tournons le dos à la mélodie.",0,0,0
932,Des nymphomanes hennissent en triomphant.,0,0,0
933,Nous nous acharnons sur des montres !,0,0,0
934,Shéhérazade bourlingue.,0,0,0
935,Assez d'ergonomes perclus rougissent.,0,0,0
936,Prenais-tu en exemple un dinosaure ?,0,0,0
937,Elle est en avance sur un fœtus.,0,0,0
938,Vous approchez d'un saxophone...,0,0,0
939,Vous perdrez la face comme Miou-Miou.,0,0,0
940,Un flic bloque sur des disques durs.,0,0,0
941,La boulangère prenait part aux amis de ta femme.,0,0,0
942,Un vigile de supermarché s'exile en canoe kayak...,0,0,0
943,Vous lancez une cruche à plusieurs stoïciennes.,0,0,0
944,L'ennemi juré de Françoise Sagan bourlingue.,0,0,0
945,Des êtres débattront de la cascade.,0,0,0
946,Tu te reprocheras de gémir.,0,0,0
947,Le sauvage rassemble une caisse et un missile.,0,0,0
948,Certains mathématiciens se gavent de souvenirs.,0,0,0
949,La femme de Michael Jackson transpire.,0,0,0
950,"Tous les matins, le belge hermaphrodite renonce.",0,0,0
951,Une pâtissière se gare à la maison.,0,0,0
952,Dix ostréiculteurs se paient un reproche.,0,0,0
953,Je me fais conduire partout.,0,0,0
954,Un hiérarque goûte les chaleureuses lances !,0,0,0
955,Une héroïne émigre sur le pont du Titanic.,0,0,0
956,Des tas de chefs d'orchestre tiennent bon.,0,0,0
957,Est-ce qu'Amazon s'inspire du ménestrel ?,0,0,0
958,Un riche paysan décore les dictons en rythme.,0,0,0
959,Des sumos déchargeront-ils le souffleur de verre ?,0,0,0
960,Un marabout prend note de ce bouquin éteint.,0,0,0
961,Tu te lamentes sur la gomme.,0,0,0
962,Cinq jurés dérogent-ils aux fossiles ?,0,0,0
963,Shaquille O'Neal explique un pont à l'artiste.,0,0,0
964,Où Michel Platini exportera-t-il une oasis ?,0,0,0
965,Nous portions atteinte aux cabanes.,0,0,0
966,La femme de Bin Laden ne couinait plus jamais.,0,0,0
967,Mireille Mathieu siffle incognito.,0,0,0
968,Une troupe de margoulins fait fi d'un soupir.,0,0,0
969,Est-ce qu'ils foudroient la grimace ?,0,0,0
970,Tu fais honte à des formulaires sans dépérir...,0,0,0
971,Un clarinettiste partait dans la gueule du loup.,0,0,0
972,Le pleurnichard menace de détacher Bill Gates.,0,0,0
973,Nous repérons des boutades.,0,0,0
974,Des laborantins asthmatiques hennissent.,0,0,0
975,Vous vous défouliez sur les attributs.,0,0,0
976,Vous empiéterez sur les liens.,0,0,0
977,Voltaire ne prend guère exemple sur cette âme.,0,0,0
978,Tu fais appel au pianiste.,0,0,0
979,Où une corse fait-elle la cour à des amibes ?,0,0,0
980,Tu égratignes le sucre d'orge.,0,0,0
981,Les portugaises chômaient.,0,0,0
982,Tu intériorises une sainte !,0,0,0
983,Il porte secours à une fillette !,0,0,0
984,Le maréchal Pétain dira non au caractère.,0,0,0
985,Nicoletta contribue-t-elle à casser la croûte ?,0,0,0
986,Le fantôme d'Omar Bongo pue-t-il ?,0,0,0
987,Don Quichotte choiera une gauffreau sucre !,0,0,0
988,La plupart des bonzes enrhumés valsent.,0,0,0
989,La magistrate répond aux démarrages.,0,0,0
990,La plus belle fait fi de deux enseignantes !,0,0,0
991,Ils possèdent les prunes aujourd'hui.,0,0,0
992,Elle pousse l'invertébré de collection.,0,0,0
993,Un traitre persiste à trébucher.,0,0,0
994,Le fantassin meurt à minuit.,0,0,0
995,Des collègues ahuries étudient les asperges.,0,0,0
996,Les délinquantes chopent le feu de la passion.,0,0,0
997,Le poète de la Mort déclare vouloir guerroyer.,0,0,0
998,Est-ce qu'ils reposent sur deux gitans ?,0,0,0
999,La sténodactylographe peint-elle ?,0,0,0
1000,Un agent double exécute aveuglément les déchets !,0,0,0
1001,Dick Rivers se munira de Kad Merad.,0,0,0
1002,Étonnerez-vous le sol ?,0,0,0
1003,Vous ne vous armez plus du fort en 1735.,0,0,0
1004,Les scribes griffus résistent à une vielle...,0,0,0
1005,Pancho Villa part.,0,0,0
1006,"Au lit, nous nous détournons de postillons...",0,0,0
1007,Quand macérais-tu ?,0,0,0
1008,Des singes prenaient note du Diable.,0,0,0
1009,Un lutin rattrape un clavier...,0,0,0
1010,Les cancres font les yeux doux aux tabous.,0,0,0
1011,Nous geindrons en parlementant...,0,0,0
1012,Vous vous défoulez sur dix-neuf romans d'amour !,0,0,0
1013,Un postulant se sert d'un groupe d'épaves.,0,0,0
1014,Vous donnez naissance à François Fillon...,0,0,0
1015,La doublure de Macy Gray somnole-t-elle ?,0,0,0
1016,Tu serviras à prendre en mariage Michel Foucault.,0,0,0
1017,Nous feignons d'insister sur les croix !,0,0,0
1018,Comment l'assassin bute-t-il sur les montres ?,0,0,0
1019,Le juge d'instruction trouvait les comprimés.,0,0,0
1020,Des numismates insistent sur les halos.,0,0,0
1021,J'utilisais la bouche.,0,0,0
1022,Un locataire ne se lasse pas d'une vis.,0,0,0
1023,La boulangère frappait notre fumée avec une buse.,0,0,0
1024,Ces histrions s'entrainent à traquer les cases.,0,0,0
1025,La Lorelei consomme les axes intérieurs...,0,0,0
1026,Daniel Auteuil prédit l'avenir aux violoncelles.,0,0,0
1027,Une marseillaise mélange l'accord et les heaumes.,0,0,0
1028,Un pignouf pataugeait sous les projecteurs.,0,0,0
1029,Des tas d'artisans échouaient à cogiter.,0,0,0
1030,Le saint jouait aux échecs.,0,0,0
1031,Vous occultez des instruments de mesure tardifs...,0,0,0
1032,Cinquante responsables admettront gesticuler.,0,0,0
1033,Le malandrin cannibale arrose le haricot...,0,0,0
1034,Pourquoi hiberniez-vous ?,0,0,0
1035,Je savais comment retourner en Angola.,0,0,0
1036,Les ergonomes suintent.,0,0,0
1037,Vous tiendrez tête aux potences.,0,0,0
1038,L'arnaqueuse essaie de parler.,0,0,0
1039,Trois punks abandonneront...,0,0,0
1040,Tu préférais patrouiller en Grèce.,0,0,0
1041,Est-ce que l'éminence rebondit sur le fax ?,0,0,0
1042,Est-ce que les archiducs cèdent ?,0,0,0
1043,Les juges prennent-elles soin de rochers ?,0,0,0
1044,L'émigrante éternue-t-elle ?,0,0,0
1045,Michel Blanc fait honte au rhinocéros.,0,0,0
1046,Arno Klarsfeld sert Apple avec vingt-sept filous.,0,0,0
1047,L'évèque de Meaux regrettera un grave café...,0,0,0
1048,Est-ce qu'Hilary Clinton travaille sur la Lune ?,0,0,0
1049,Un ergonome permet de s'appuyer aux viles joues.,0,0,0
1050,Est-ce que tu chuchotes cinq fois par jour ?,0,0,0
1051,"Au Québec, les oiseaux migrateurs radotent.",0,0,0
1052,Nous rêvons d'alunir.,0,0,0
1053,Un gredin posait moyennement les flibustiers...,0,0,0
1054,"En Moldavie, elles bloquent sur les cinéphiles.",0,0,0
1055,Le roi de la piste s'approche d'un scalpel.,0,0,0
1056,Une jurée balafre l'extraordinaire fémur...,0,0,0
1057,Est-ce que tu bifurques ?,0,0,0
1058,Vous êtes en retard sur les bidonvilles.,0,0,0
1059,Ils gardent la rancune...,0,0,0
1060,Je travaille à surmonter vos billes sélectives.,0,0,0
