Text,Difficulty,Difficulty Annotator 1,Difficulty Annotator 2,Difficulty Annotator 3
"La mère de Raphaël et de Vanessa exprime sa satisfaction : depuis que ses enfants possèdent un portable, « ça a libéré ma ligne », déclare-t-elle.",,A1,B2,B2
Elle se sent de surcroît sécurisée de savoir qu'ils peuvent appeler en cas d'urgence.,,A2,B1,B1
"En brisant le fatum des itinéraires sociaux, en augmentant le temps de la formation, en accroissant l'autonomie des individus, les sociétés modernes ont inventé la jeunesse et celle-ci ne cesse de s'allonger, jusqu'à 25 ans et au-delà.",,A1,A2,A2
"Le plus souvent, on insiste sur les causes négatives de cet allongement : l'errance de petit job en emploi précaire, la difficulté et le stress des études…",,A2,B1,B1
"Et les discours sur la jeunesse, surtout les sérieux, mettent en scène les aspects dramatiques d'une expérience écrasée par les angoisses et les contradictions de la société.",,A2,B1,B1
"Or, la plupart du temps, la jeunesse est heureuse, ni aussi tragique ni aussi banale que ne le dessinent les clichés.",,A1,A2,A2
La jeunesse moderne est construite comme une double épreuve.,,A1,A2,A2
"D'une part, elle est une conquête d'autonomie, une sortie de la dépendance enfantine, une découverte de soi, de ses goûts, de ses amitiés.",,A2,A2,A2
"D'autre part, elle est un investissement dans le travail scolaire et dans la formation professionnelle, en une longue compétition qui permet d'acquérir progressivement un statut d'adulte.",,A2,A2,A2
"Les sociétés modernes demandent beaucoup aux jeunes ; elles exigent qu'ils soient libres et sérieux, autonomes et prévoyants, originaux et conformes.",,A2,B1,B1
"Parfois, cette épreuve se passe mal, entre autonomie et dépendance, entre succès et échecs.",,A2,A2,A2
"Souvent, elle se passe bien, mais cela ne se voit guère ; la jeunesse heureuse paraît toujours un peu niaise.",,B1,B2,B2
Presque tous les jeunes déclarent aimer leur collège ou leur lycée.,,B1,A2,A2
"Dans la plupart des cas, ils désignent moins les cours et les enseignants que l'espace d'une vie ponctuée par les conquêtes progressives d'une liberté nichée dans les interstices de l'organisation scolaire : le temps des amours et des amitiés, celui des premières fois, avec la ronde des mini-bandes, des codes cachés et des fous rires.",,B1,B2,B2
"Au collège et au lycée, on pratique l'art de la conversation, celui de la complicité, des petites passions partagées dans un sentiment de légèreté et d'insouciance puisque rien n'est définitif.",,B2,B2,B2
"Depuis 2006, les particuliers français peuvent recycler des déchets d’équipements électriques et électroniques grâce à la reprise « un pour un ».",,B2,B2,B2
Le concept est simple : chaque ménage peut déposer son appareil hors d’usage contre l’achat d’un neuf chez le même distributeur.,,B1,B2,B2
"Bientôt, ce sera au tour des entreprises de bénéficier d’une telle possibilité, qui devrait permettre de collecter et de recycler près de 70 000 tonnes de déchets professionnels.",,B1,B1,B2
"Mis en place par l’éco-organisme Récylum, ce dispositif intéresse en premier lieu les entreprises du bâtiment, mais aussi les industries et les collectivités territoriales, qui détiennent du matériel (alarmes incendie, caméras de surveillance...) qui ne fonctionne plus.",,B1,B1,B2
"Pour le directeur de Récylum, Hervé Grimaud, ce n’est pas le recyclage mais la collecte de ces déchets qui posait problème jusqu’à présent.",,A1,A1,A2
"« L’immense majorité des déchets professionnels sont mêlés aux gravats* ou aux emballages, et enterrés dans le sol faute d’être isolés en vue de leur traitement », affirme-t-il.",,A2,A2,A2
"C’est le principe de responsabilité élargie du producteur, initié par la directive européenne.",,B1,B1,B2
"Les 120 entreprises partenaires chargées du financement de la filière paieront près de 100 euros la tonne de déchets, en fonction des équipements mis sur le marché.",,A2,A2,A2
"2003, qui leur impose de prendre en charge la fin de vie de leurs appareils.",,B1,A1,B1
"À terme, plus de 300 déchetteries professionnelles collecteront gratuitement ces déchets qui seront ensuite transportés dans des centres de traitement où ils suivront le même circuit que les déchets ménagers : destruction, dépollution, puis réutilisation dans la fabrication de nouveaux équipements électroniques.",,B1,A2,B1
"Au-delà de la pression réglementaire, les entreprises qui s’engagent dans le recyclage des déchets professionnels s’inquiètent de la diminution des matières premières qui entrent dans la composition de ces appareils : des métaux rares, du cuivre, du fer...",,B2,A2,B2
"« Aujourd’hui, pour produire la même quantité de minerai de fer, il faut extraire deux fois plus de terre qu’il y a vingt ans », remarque le directeur de Récylum.",,B2,B2,B2
"Les appareils pouvant être recyclés à 85% de leur poids environ, l’enjeu est important.",,B1,A2,B1
"Enfin, les producteurs s’inquiètent de la pollution que peuvent entraîner ces équipements qui contiennent parfois des substances dangereuses.",,B1,B1,B1
"En 2007, moins de 8% des déchets des entreprises ont fait l’objet d’une collecte sélective. ",,A2,A2,A2
"Un résultat largement inférieur à celui des déchets ménagers, qui forment la grande majorité des quelque 2 millions de tonnes de déchets électroniques produits chaque année en France, selon l’Agence de l’environnement et de la maîtrise d’énergie (Ademe).",,B1,B2,B1
"Dominique Mignon, directrice de développement à Éco-Systèmes (le principal des quatre éco-organismes de gestion des déchets d’équipements électriques et électroniques), attribue ce retard aux dates fixées par la législation : « Les producteurs doivent prendre en charge uniquement les déchets des appareils vendus à partir du 13 août 2005.",,B1,B2,B1
"Ainsi, à la fondation Sciences mathématiques de Paris, il y a moins de 20 % de femmes.",,B2,B1,B2
 Une toute récente étude a tenté de comprendre pourquoi il y avait tellement plus de mathématiciens que de mathématiciennes.,,B1,A2,B1
" En analysant les données recueillies lors des épreuves d’évaluation dans le primaire et le secondaire, on constate qu’il n’y a aujourd’hui pas de différences de performances entre filles et garçons. ",,B1,B1,B1
Les capacités intellectuelles masculines et féminines sont en moyenne les mêmes.,,B2,A2,B2
"Or, aujourd’hui, ces appareils commencent à peine à arriver en fin de vie. Beaucoup d’entreprises ont donc attendu ce moment pour se préparer réellement à les traiter. »",,B1,B1,B1
"En allant dans le détail, on voit que les filles ont, au début, un petit avantage pour le calcul, avantage qui disparaît par la suite.",,B1,A2,B1
"C’est le moment de l’orientation vers les études supérieures. Et, en France, beaucoup moins de filles que de garçons.",,B2,A2,B2
On ne trouve aucune différence en ce qui concerne la compréhension de concepts abstraits ou dans la résolution de problèmes complexes. ,,B1,B1,B1
"Mais une différence apparaît en fin de cursus scolaire, les garçons prenant dans ce dernier domaine un avantage sur les filles. ",,B2,B1,B2
"Elles vont choisir la voie des sciences dites « dures », parmi lesquelles les mathématiques. Pourtant, beaucoup de filles s’estiment « bonnes en maths », mais n’ont jamais envisagé d’y faire carrière ; un premier indice expliquant peut-être le faible nombre de femmes en mathématiques.",,B1,B1,B1
"C’est à la fin du XIXe siècle que les scientifiques commencent à s’intéresser, de manière « raisonnée », aux capacités intellectuelles des hommes et des femmes. ",,A2,A2,A2
La conclusion a alors été rapidement et « solidement » établie : le cerveau plus petit des femmes faisait que leurs capacités intellectuelles étaient limitées,,B1,B1,B1
"Fort heureusement pour tout le monde, on n’en est plus là. ",,B1,A2,A2
"Pourtant, il reste, dans le monde de la science, quelques domaines qui semblent réservés aux hommes.",,B1,A2,A2
 C’est le cas des mathématiques.,,A2,A1,A1
"Assis en terrasse dans le quartier touristique du Vieux Lyon, James sirote une limonade bien fraîche. Avec la chaleur estivale, cette journée d’exploration se révèle très fatigante !",,B1,B2,B2
"En 2007, moins de 8% des déchets des entreprises ont fait l’objet d’une collecte sélective. Un résultat largement inférieur à celui des déchets ménagers, qui forment la grande majorité des quelque 2 millions de tonnes de déchets électroniques produits chaque année en France, selon l’Agence de l’environnement et de la maîtrise d’énergie (Ademe).",,A2,B2,B2
"Ainsi, à la fondation Sciences mathématiques de Paris, il y a moins de 20 % de femmes. Une toute récente étude a tenté de comprendre pourquoi il y avait tellement plus de mathématiciens que de mathématiciennes.",,B1,B2,B2
"En analysant les données recueillies lors des épreuves d’évaluation dans le primaire et le secondaire, on constate qu’il n’y a aujourd’hui pas de différences de performances entre filles et garçons.",,B1,B1,B1
 Les capacités intellectuelles masculines et féminines sont en moyenne les mêmes.,,B1,A2,A2
"En allant dans le détail, on voit que les filles ont, au début, un petit avantage pour le calcul, avantage qui disparaît par la suite.",,B1,A2,A2
 On ne trouve aucune différence en ce qui concerne la compréhension de concepts abstraits ou dans la résolution de problèmes complexes. ,,B1,B2,B2
"Mais une différence apparaît en fin de cursus scolaire, les garçons prenant dans ce dernier domaine un avantage sur les filles.",,B2,B1,B1
 C’est le moment de l’orientation vers les études supérieures.,,A2,A2,A2
" Et, en France, beaucoup moins de filles que de garçons vont choisir la voie des sciences dites « dures », parmi lesquelles les mathématiques.",,B1,B1,B1
" Pourtant, beaucoup de filles s’estiment « bonnes en maths », mais n’ont jamais envisagé d’y faire carrière ; un premier indice expliquant peut-être le faible nombre de femmes en mathématiques.",,B1,B1,B1
La conclusion a alors été rapidement et « solidement » établie : le cerveau plus petit des femmes faisait que leurs capacités intellectuelles étaient limitées. ,,B1,B1,B1
"Fort heureusement pour tout le monde, on n’en est plus là.",,A2,A2,A2
" Pourtant, il reste, dans le monde de la science, quelques domaines qui semblent réservés aux hommes.",,C1,B1,B1
"Comme toujours, l’histoire peut apporter des enseignements intéressants. ",,B2,B1,B1
"Y a-t-il, ou y a-t-il eu, des génies féminins des mathématiques ?",,A2,B1,B1
La réponse est oui.,,A1,A1,A1
Et pas qu’une.,,A1,A1,A1
L’une des plus emblématiques est MarieSophie Germain.,,A2,A2,A2
"Née en 1776, elle est l’une des premières mathématiciennes françaises autodidactes.",,B1,B1,B1
"Elle prendra un pseudonyme masculin pour poursuivre ses travaux qui, revisités il y a peu, ont montré qu’elle avait imaginé les prémisses des travaux de Poincaré.",,B1,B1,B1
"Une équation, entre autres, porte son nom.",,A2,A2,A2
"Mais aucune femme n’a encore eu la médaille Fields, l’équivalent du prix Nobel pour les mathématiques.",,A2,A2,A2
Les maths font-elles peur aux femmes ?,,A1,A1,A1
"Interrogées, nombre de mathématiciennes le contestent.",,A2,A2,A2
Mais des femmes ayant choisi d’autres disciplines scientifiques reconnaissent qu’elles n’ont même pas envisagé cette possibilité.,,B1,B1,B1
"Les dernières études d’imagerie cérébrale confirment qu’il y aurait bien une différence, non de capacité, mais de « fonctionnement » du cerveau des hommes et des femmes, en fonction de leurs centres d’intérêt.",,B1,B1,B1
Mais ces recherches sur les différences n’en sont qu’à leurs balbutiements.,,B1,B1,B1
"Or, il y a aussi, certains le reconnaissent, une sorte de problème d’image des maths.",,A2,A2,A2
Les mathématiques véhiculent encore une « image » très masculine.,,A2,A2,A2
"Ce n’est de la faute de personne, mais il faudrait « désacraliser » les mathématiques",,B1,B2,C1
"Mesdemoiselles et mesdames, à vous de jouer !",,A1,A2,C1
Le risque de plagiat?,,A2,A1,C1
"Il existera bien sûr des moyens détournés de tricher, mais l’accent sera mis sur la dissuasion, à la manière des contrôles antidopage, « l’autre condition étant évidemment d’imaginer des sujets qui ne se prêtent pas au copier-coller…",,B1,B1,C1
"Donc des épreuves qui font appel à la réflexion, aux capacités de synthèse afin de vérifier que les élèves n’ont pas seulement appris mais compris ».",,B1,B1,C1
"Il existe des outils pour le repérer, précisent les promoteurs de la méthode.",,A2,A2,C1
"Et pour éviter les risques de tricherie, les élèves n’auront pas le droit d’utiliser de messagerie instantanée, pas plus que les traducteurs automatiques, et leurs écrans seront de toute façon contrôlés, de manière aléatoire, par des surveillants.",,B2,B1,C1
"Et c’est le point le plus important : en autorisant les élèves à aller sur le net pendant leurs examens, on parie sur leur capacité d’analyse et de synthèse, et donc sur leur intelligence, plutôt que de continuer à faire reposer l’évaluation sur leurs capacités à régurgiter ou « copier/coller » de mémoire, ce qu’ils ont appris par cœur.",,B2,B2,C1
"Certes, l’un n’empêche pas l’autre, et le pari est osé, mais il a le mérite de s’adapter à la réalité quotidienne des élèves, plutôt que de continuer à faire comme s’ils vivaient encore au temps où l’accès à l’information était une ressource rare.",,B2,B2,C1
"Pour le rédacteur en chef du Café pédagogique, « l’initiative a aussi l’intérêt d’accéder à un espace que l’École a bien du mal à investir : celui des pratiques sociales des adolescents.",,B2,B2,C1
"Intégrer internet c’est aussi faire un lien entre l’École et la vie réelle des adolescents, tous natifs numériques ».",,B1,A2,C1
"Sur un site internet, la présidente d’une association de lycéens s’en réjouit : « Les examens doivent être le miroir de la vie réelle et quand vous écrivez des rapports au travail, vous utilisez internet ».",,B1,B1,C1
"Une association de promotion et de développement de l’apprentissage en ligne note que si la calculatrice a « supplanté le calcul mental y compris pour des opérations basiques, et que l’utilisation d’un ordinateur relié à internet pourrait aisément remplacer une partie de notre mémoire, les opérations basiques ont ont été mémorisées en amont et c’est grâce à cette assimilation de connaissances basiques que l’apprenant peut utiliser la calculatrice ».",,B1,B1,C1
"Toutefois, il faut aussi être capable d’identifier les informations les plus pertinentes : une chose est de savoir lire, une autre est de savoir chercher des informations sur le net, et une troisième est de les vérifier, et de s’assurer de leur validité.",,B1,B1,C1
"Toutes choses qui, à ce jour, ne sont précisément pas enseignées à l’école et dépendent en bonne partie des usages et de la pratique qu’ont les élèves de l’internet.",,B1,B1,C1
"De plus, les sonneries stridentes, les hurlements, dans le train, dans le bus, donnent envie de les casser, comme l'écrit une adolescente de 12 ans au journal « Okapi »",,B1,B1,C1
"Pour dissuader ses lycéens de faire les Beaux-arts, l’École du cirque ou de se diriger vers diplôme d’arts du spectacle, un proviseur avait coutume de leur raconter cette histoire : « J’avais deux copains».",,B2,B2,C1
Ils adoraient tous les deux la montagne.,,A1,A1,A1
"Chaque fin de semaine, ils partaient ensemble en randonnée dans les Alpes.",,A2,A2,A2
"Le bac en poche, le premier d’entre eux choisit d’en faire son métier.",,A2,A2,A2
Il devint guide de haute montagne.,,A1,A1,A1
"Aujourd’hui, il gagne difficilement le salaire minimum.",,A1,A1,A1
"Les randonneurs sont rares, et souvent médiocres.",,A1,A1,A1
"À mi-parcours, il doit souvent faire demi-tour.",,A2,A1,A1
"Les sommets, il ne les voit jamais.",,A1,A1,A1
"À 40 ans, il est usé.",,A1,A1,A1
Mon second copain fit des études de commerce.,,A1,A1,A1
Il est devenu directeur financier dans une grande entreprise.,,A2,A1,A1
"Chaque vendredi, il s’envole vers les plus beaux sommets d’Europe.",,A2,A1,A1
"Il s’offre les meilleurs guides, gravit les montagnes, s’épanouit…",,A2,A2,A2
Lequel des deux assouvit le mieux sa passion ?,,A2,A2,A2
"Grâce à cette anecdote, le proviseur s’enorgueillissait de n’envoyer aucun bachelier vers des filières bouchées.",,B1,B1,B1
"Seulement voilà : depuis trois ans, le proviseur se fait plus discret.",,A2,A2,A2
Car l’histoire a pris un tour inattendu.,,A2,A2,A2
"Le directeur financier, sans doute moins heureux qu’il l’affichait, a tout abandonné : son travail, son entreprise, sa vie parisienne et son appartement cossu.",,B1,B1,B1
Il a ouvert un gîte de randonneurs en Haute-Savoie…,,A2,A2,A2
Ses enfants l’ont traité de fou.,,A2,A1,A1
Lui se déclare enfin « en phase » avec lui-même.,,A2,A2,A2
Ce cas n’est pas isolé.,,A1,A1,A1
Il suffit de se promener dans une campagne française pour prendre la mesure du phénomène.,,A2,A2,A2
Des panneaux « chambres d’hôtes » ont fleuri partout le long des routes.,,A1,A2,A2
"En vingt ans, leur nombre est passé de 4 500 à plus de 30 000, selon la direction du Tourisme du ministère de l’Emploi, qui ne recense que les maisons d’hôtes labellisées par les principales organisations touristiques.",,B1,B1,B1
"Et chaque année, 2 500 Français créent un gîte rural, une aventure pourtant risquée.",,A2,A2,A2
"Plus qu’à un changement de métier, c’est à un changement de vie auquel aspirent ces individus.",,B1,B1,B1
"Citadins pour la plupart, ils ont entre 30 et 50 ans, avec une tendance au rajeunissement ; ils sont « installés » sur le plan professionnel, en couple ou seuls.",,B1,B1,B1
"Ils se disent prêts à quitter travail et confort, à s’éloigner de leurs amis, à « gagner moins pour vivre mieux ».",,A2,A2,A2
"Une fois leur projet abouti, ils parlent de liberté, d’harmonie, de renaissance.",,A2,B1,B1
"En kiosque depuis le 1er mars, le magazine Changer tout résume l’ambition de leur reconversion. « Nous avions l’intention d’appeler ce journal Changer de vie, révèle sa fondatrice».",,A2,A2,A2
"Mais au dernier moment, nous nous sommes rendus compte que ce titre était déjà déposé par un producteur de télévision.",,A2,A2,A2
L’anecdote est révélatrice.,,A1,A2,A2
"Le changement personnel, valorisé depuis une trentaine d’années, serait-il devenu une incantation collective ?",,A2,A2,A2
"Pour la sociologue, auteur de Reconversions professionnelles volontaires, ce mouvement est à la fois individuel et social.",,B1,B2,B2
"Certes, l’individu, actif et volontaire, est le seul initiateur de sa reconversion.",,B1,B1,B1
"Mais la société, en érigeant en diktat le changement et la « vocation de soi », en fait une expérience sociale.",,B2,B2,B2
"Ce phénomène, poursuit la sociologue, résulte à la fois de la crise de l’emploi, qui encourage chacun à être plus mobile, et d’un bouleversement des valeurs qui cimentent la société : « Jusqu’aux années 1970, le projet de vie des individus était surtout construit à partir des catégories de la famille heureuse, de l’accession à la propriété familiale».",,B1,B1,B1
"Aujourd’hui, il est davantage question de réalisation de soi, de quête de l’identité personnelle.",,B1,B1,B1
"Le mythe du retour aux sources, l’engouement écologique, le rejet des transports en commun et des rythmes professionnels épuisants peuvent aussi constituer de puissants ressorts.",,B2,B1,B1
"Si sept millions de citadins rêvent de refaire leur vie aux champs, tous ne passent pourtant pas à l’acte. « Il y a toujours un événement déclencheur », constate la directrice de Changer tout.",,B1,B2,B2
"Elle-même a quitté Paris et son poste de directrice de la rédaction d’un magazine télé, il y a neuf ans, pour fonder sa propre agence dans le Gers.",,B1,B1,B1
"« Mon fils, allergique à la pollution, a fait une crise d’asthme terrible» , se souvient-elle.",,B1,B1,B1
"En quinze jours, j’ai tout vendu, et je suis partie m’installer dans le Gers.",,A2,A2,A2
"Une sociologue, qui a réalisé une enquête qualitative, utilise la métaphore de l’autocuiseur pour caractériser ce « scénario de crise » qui conduit l’individu à une remise à plat de son expérience.",,B1,B1,B1
"Une crise survient à l’issue d’une période de quelques mois, pendant laquelle la pression – professionnelle, familiale ou existentielle – ne cesse de monter.",,B1,B1,B1
Une dispute avec un patron peut faire « sauter le couvercle ».,,A2,B1,B2
"Des événements privés – séparation, naissance, deuil ou problème de santé – peuvent aussi jouer un rôle clé dans la reconversion.",,B1,B1,B2
"« L’importance du changement opéré provient de ce que cette crise traverse diverses sphères de la vie, les contamine mutuellement […].",,B1,B1,B1
"Ici, tout est mêlé et accéléré », souligne la sociologue.",,A2,A2,A2
"Il n’est guère étonnant, dès lors, que la bifurcation professionnelle et le déménagement prennent des allures de « conversion identitaire ».",,B2,B2,B2
Elle oblige à une réflexion sur soi-même et à un inventaire des possibles.,,A2,B1,B1
Le sujet négocie avec lui-même le prix de sa liberté.,,A2,A2,A2
"Cette introspection est un préalable à la planification de son projet, alors vécu comme un choix positif.",,A2,B1,B1
Le coût de la liberté reste un mystère : pourquoi l’ouverture d’une chambre d’hôtes reste le fantasme premier des Français qui souhaitent changer de vie ?,,B1,B1,B1
"Il existe après tout mille manières de refaire sa vie : partir à l’étranger, faire de l’humanitaire, passer un concours de la fonction publique, se lancer dans une carrière artistique…",,B1,B1,B1
Changer de vie. ,,A1,A1,A1
"Se reconvertir, mode d’emploi, les deux auteures donnent des indices.",,B1,A2,A2
"À partir de récits de vie, elles dissèquent les motivations des candidats à la reconversion professionnelle.",,B1,B1,B1
"Elles établissent cinq catégories : se mettre au vert, se mettre à son compte, se consacrer aux autres, vivre sa passion, partir loin.",,B1,A2,A2
"Quelle activité, sinon l’hébergement touristique, permet de conjuguer toutes ces motivations ?",,B1,A2,A2
"Pour se lancer, il est préférable d’avoir quelques finances et un bon carnet d’adresses.",,B1,A2,A2
"Avec une rentabilité de 1 500 à 3 000 euros par chambre et par an, l’aventure tourne parfois court.",,B2,A2,A2
D’où un tout nouveau phénomène.,,A2,A1,A1
"Forts des expériences, parfois malheureuses, de leurs aînés, certains jeunes anticipent.",,B1,A2,A2
" Dans les écoles de commerce, dans les couloirs de places financières, il arrive aujourd’hui de croiser de jeunes adultes de 20 ou 25 ans qui prévoient d’ouvrir une maison d’hôtes « dans une quinzaine d’années ».",,B2,B1,B1
"Une crise du milieu de vie en somme, inscrite dans leur plan de carrière.",,B2,A2,A2
"Lorsqu’une culture est assimilée par une autre, la langue menacée subit un processus qui passe généralement par trois étapes.",,B1,B1,B1
"Dans un premier temps, les locuteurs subissent une très forte pression – politique, sociale ou économique – pour parler la langue dominante.",,B1,B1,B1
"Ce phénomène peut venir d’en haut, sous forme de mesures d’incitation, de recommandations ou de lois, ou bien de la base, par la pression du groupe ou en raison de la nécessité économique.",,B1,B1,B1
La deuxième phase correspond à une période de bilinguisme émergent.,,B1,A2,A2
"On maîtrise de mieux en mieux la nouvelle langue, tout en étant toujours compétent dans l’ancienne.",,B1,A2,A2
"Puis, souvent très rapidement, le bilinguisme commence à s’estomper, et l’ancienne langue cède le pas à la nouvelle.",,B1,B1,B1
"Cela débouche sur la troisième phase, au cours de laquelle la jeune génération s’identifie de plus en plus à la nouvelle langue, l’ancienne ayant à ses yeux moins d’intérêt.",,B1,B1,B1
Il arrive souvent à ce stade que parents et enfants éprouvent une certaine honte à utiliser l’ancienne langue.,,B1,B1,B1
"Les familles qui continuent de la parler voient diminuer le nombre de leurs interlocuteurs et, le domaine d’usage se rétrécissant, cela aboutit à la création de « dialectes familiaux ».",,B2,B1,B1
Quel remède à cela ?,,A2,A2,A2
"Dans le cas de beaucoup de langues, il est trop tard pour faire quoi que ce soit, parce que les locuteurs sont soit trop peu nombreux soit trop âgés, ou bien parce que la communauté linguistique est trop occupée par ailleurs à essayer de survivre.",,B2,B1,B1
Mais bien d’autres langues n’en sont pas à ce stade et on peut encore dans bien des cas les revitaliser.,,A2,B1,B1
"Mais il faut pour cela qu’un certain nombre de conditions soient réunies : la communauté elle-même doit avoir envie de sauver sa langue ; la culture plus vaste dans laquelle elle s’inscrit doit respecter les langues minoritaires ; et il faut des fonds pour financer les cours, le matériel pédagogique et les enseignants.",,B2,B1,B1
La mort d’une langue est-elle vraiment une catastrophe ?,,B1,A2,A2
La disparition des langues devrait nous préoccuper au même titre que celle des espèces animales ou végétales.,,B2,B1,B1
Car cela réduit la diversité de notre planète.,,A2,A1,A1
Des décennies de sensibilisation à l’écologie ont fini par nous convaincre que la biodiversité est une bonne chose.,,C1,B2,B2
La diversité linguistique n’a malheureusement pas bénéficié de la même publicité.,,C1,B2,B2
"La diversité occupe une place centrale dans la théorie de l’évolution, car elle permet à une espèce de survivre dans des milieux différents et l’uniformisation présente des dangers pour la survie à long terme d’une espèce.",,C1,B2,B2
"Si la multiplicité des cultures est une condition nécessaire pour un développement humain réussi, alors la préservation de la diversité linguistique est essentielle, puisque les langues écrites et orales sont le principal mode de transmission des cultures.",,C1,B2,B2
L’immense majorité des langues serait-elle condamnée à disparaître à court terme ?,,B2,B1,B1
Les linguistes estiment qu’un idiome ne peut survivre qu’à condition de compter au moins 100 000 locuteurs.,,B2,B1,B1
"Or, sur les quelque 6 000 langues qui existent actuellement dans le monde, la moitié compte moins de 10 000 locuteurs et un quart moins de 1 000.",,B2,B1,B1
"Depuis qu’elles se sont diversifiées, au moins 30 000 sont nées et se sont éteintes, souvent sans laisser de trace.",,B1,B1,B1
A cette très grande mortalité correspond une durée moyenne de vie relativement courte. ,,B2,B1,B1
"Rares sont celles qui, comme le basque, l’égyptien, le chinois, le grec, l’hébreu, le latin, le persan, le sanskrit, le tamoul et quelques autres ont soufflé leurs 2 000 bougies.",,B2,B2,B2
"Ce qui est nouveau, en revanche, c’est la vitesse à laquelle elles périssent en ce moment.",,B1,A2,A2
" En remontant dans le temps, on s’aperçoit que le déclin de la diversité linguistique a été considérablement accéléré par les conquêtes colonialistes européennes qui ont éliminé au moins 15 % des langues parlées à l’époque.",,C1,C1,C1
"La naissance des Etats-nations, dont l’unité territoriale était étroitement liée à leur homogénéité linguistique, a également joué un rôle décisif dans la consolidation des langues adoptées comme nationales, et la marginalisation des autres.",,C2,C2,C2
"Déployant de gros efforts pour instaurer une langue officielle dans l’éducation, les médias et l’administration, les gouvernements ont consciemment visé l’élimination des langues minoritaires.",,C1,C1,C1
"Ce processus d’homogénéisation s’est renforcé avec l’industrialisation et le progrès scientifique, qui ont imposé de nouveaux modes de communication, rapides, simples et pratiques.",,C1,C2,C2
La diversité des langues a été alors perçue comme une entrave aux échanges et à la diffusion du savoir.,,B2,B2,B2
Le monolinguisme est devenu un idéal.,,A2,B1,B1
" C’est ainsi qu’à la fin du XIXe siècle est née l’idée d’une langue universelle (on a même songé à revenir au latin), qui a donné lieu à une prolifération de langues artificielles.",,B2,B2,B2
"Le volapük a été la première d’entre elles, tandis que l’espéranto a connu le plus vif succès et la plus grande longévité.",,B2,C2,C2
"Plus près de nous, l’internationalisation des marchés financiers, la diffusion de l’information par les médias électroniques et les autres avatars de la mondialisation ont intensifié la menace qui pesait déjà sur les « petites » langues.",,B2,C1,C1
Une langue qui n’est pas employée sur Internet « n’existe plus » dans le monde moderne. ,,B1,B1,B1
Elle est hors circuit.,,A1,A1,A1
 Elle est exclue du « commerce ».,,A1,A1,A1
Le rythme d’extinction des langues a ainsi atteint des proportions sans précédent dans l’histoire : 10 par an à l’échelle mondiale.,,A2,B1,B1
L’avenir paraît encore plus sombre.,,A2,A2,A2
"Selon les pronostics, de 50 à 90 % des langues parlées aujourd’hui mourront au cours de ce siècle.",,B1,B1,B1
 Leur préservation est une affaire urgente.,,A2,A2,A2
Les conséquences de la disparition des langues sont graves à plus d’un titre.,,B1,B1,B1
"Si nous devenions tous uniformément monolingues, notre cerveau en serait affecté, au point de perdre une partie de notre créativité linguistique innée.",,C1,B2,B2
Toute tentative de remonter aux origines du langage humain deviendrait impossible et le mystère de la « première langue » ne serait jamais percé.,,C1,B2,B2
"Par ailleurs, avec la mort de chaque langue, un volet de l’histoire de l’humanité se referme",,B2,B2,B2
"Les langues ne sont pas seulement le moyen privilégié de communication entre les humains, elles incarnent la vision du monde de leurs locuteurs, leurs imaginaires, leurs façons de véhiculer le savoir.",,B2,B2,B2
Le danger qui pèse sur le multilinguisme est analogue à celui qui concerne la biodiversité.,,B2,B2,B2
" Ainsi, une grande partie des espèces végétales ou animales en péril ne sont connues à l’heure actuelle que par certains peuples, dont les langues s’éteignent.",,B2,B2,B2
"En mourant, elles emportent avec elles tout un savoir traditionnel sur l’environnement.",,B1,B1,B1
"Après les écoles littéraires qui ont voulu nous donner une vision déformée, surhumaine, poétique, attendrissante, charmante ou superbe de la vie, est venue une école réaliste ou naturaliste qui a prétendu nous montrer la vérité, rien que la vérité et toute la vérité.",,C1,B2,B2
Il faut admettre avec un égal intérêt ces théories d'art si différentes et juger les oeuvres qu'elles produisent uniquement au point de vue de leur valeur artistique en acceptant a priori les idées générales d'où elles sont nées.,,C1,B2,B2
"Contester le droit d'un écrivain de faire une oeuvre poétique ou une oeuvre réaliste, c'est vouloir le forcer à modifier son tempérament, récuser son originalité, ne pas lui permettre de se servir de l'oeil et de l'intelligence que la nature lui a donnés.",,B2,C1,C1
"Lui reprocher de voir les choses belles ou laides, petites ou épiques, gracieuses ou sinistres, c'est lui reprocher d'être conformé de telle ou telle façon et de ne pas avoir une vision concordant avec la nôtre.",,B2,B2,B2
"Laissons-le libre de comprendre, d'observer, de concevoir comme il lui plaira, pourvu qu'il soit un artiste.",,B1,B1,B1
"Devenons poétiquement exaltés pour juger un idéaliste et prouvons-lui que son rêve est médiocre, banal, pas assez fou ou magnifique.",,B2,B2,B2
"Mais si nous jugeons un naturaliste, montrons-lui en quoi la vérité dans la vie diffère de la vérité dans son livre.",,B1,B1,B1
Il est évident que des écoles si différentes ont dû employer des procédés de composition absolument opposés.,,B2,BB1,BB1
"Le romancier qui transforme la vérité constante, brutale et déplaisante, pour en tirer une aventure exceptionnelle et séduisante, doit, sans souci exagéré de la vraisemblance, manipuler les événements à son gré; les préparer et les arranger pour plaire au lecteur, l'émouvoir ou l'attendrir.",,B2,B2,B2
Le plan de son roman n'est qu'une série de combinaisons ingénieuses conduisant avec adresse au dénouement.,,B1,B2,B2
